geocode,municipio,latitude,longitude
1303304,NOVO ARIPUANÃ,-5.122669,-60.377046
1303403,PARINTINS,-2.627053,-56.736292
1303502,PAUINI,-7.714044,-67.002097
1303536,PRESIDENTE FIGUEIREDO,-2.058429,-60.025647
1303569,RIO PRETO DA EVA,-2.693302,-59.704738
1303601,SANTA ISABEL DO RIO NEGRO,-0.416695,-65.020023
1303700,SANTO ANTÔNIO DO IÇÁ,-3.107486,-67.946485
1303809,SÃO GABRIEL DA CACHOEIRA,-0.136463,-67.083643
1303908,SÃO PAULO DE OLIVENÇA,-3.46651,-68.944853
1303957,SÃO SEBASTIÃO DO UATUMÃ,-2.570153,-57.870346
1304005,SILVES,-2.836427,-58.214801
1304062,TABATINGA,-4.231884,-69.946244
1304104,TAPAUÁ,-5.624224,-63.187095
1304203,TEFÉ,-3.348372,-64.70842
1304237,TONANTINS,-2.861091,-67.776482
1304260,UARINI,-2.983609,-65.155346
1304302,URUCARÁ,-2.536612,-57.759828
1304401,URUCURITUBA,-3.134633,-58.159641
1400027,AMAJARI,3.652118,-61.42059
1400050,ALTO ALEGRE,2.993823,-61.314022
1400100,BOA VISTA,2.816682,-60.670533
1400159,BONFIM,3.350289,-59.878007
1400175,CANTÁ,2.607666,-60.602063
1400209,CARACARAÍ,1.803871,-61.149177
1400233,CAROEBE,0.872675,-59.69481
1400282,IRACEMA,2.168215,-61.052259
1400308,MUCAJAÍ,2.479772,-60.911519
1400407,NORMANDIA,3.882978,-59.635206
1400456,PACARAIMA,4.475259,-61.147306
1400472,RORAINÓPOLIS,0.937195,-60.42506
1400506,SÃO JOÃO DA BALIZA,0.947157,-59.906044
1400605,SÃO LUIZ,1.018112,-60.028267
1400704,UIRAMUTÃ,4.58544,-60.195716
1500107,ABAETETUBA,-1.72347,-48.884404
1500131,ABEL FIGUEIREDO,-4.951391,-48.396762
1500206,ACARÁ,-1.963437,-48.200456
1500305,AFUÁ,-0.159172,-50.391428
1500347,ÁGUA AZUL DO NORTE,-6.804949,-50.485275
1500404,ALENQUER,-1.951398,-54.740862
1500503,ALMEIRIM,-1.527339,-52.576835
1500602,ALTAMIRA,-3.20566,-52.214376
1500701,ANAJÁS,-0.984451,-49.945001
1500800,ANANINDEUA,-1.368714,-48.372067
1500859,ANAPU,-3.476105,-51.201622
1500909,AUGUSTO CORRÊA,-1.022921,-46.641646
1500958,AURORA DO PARÁ,-2.129376,-47.556175
1501006,AVEIRO,-3.605595,-55.330734
1501105,BAGRE,-1.889808,-50.221987
1501204,BAIÃO,-2.791962,-49.672753
1501253,BANNACH,-7.351072,-50.406047
